account_id,engagement_propensity,p_activate_true,p_convert_true,p_annual_true,p_late_upgrade_true
107,0.2274,0.2911,0.1089,0.1541,0.0446
108,0.1864,0.2704,0.1012,0.116,0.0396
109,0.3034,0.3318,0.5606,0.2508,0.0554
110,0.3924,0.3828,0.1453,0.4055,0.0711
111,0.4726,0.4311,0.6415,0.5644,
112,0.1278,0.2425,0.0911,0.0759,0.0335
113,0.3342,0.349,0.5757,0.3479,
114,0.3875,0.3799,0.1441,0.3961,0.0701
115,0.4758,0.4331,0.643,0.5707,
116,0.5476,0.4776,0.6752,0.7025,
117,0.1172,0.2376,0.0893,0.0702,0.0324
118,0.4606,0.4238,0.1631,0.5407,0.4901
119,0.4047,0.3901,0.1484,0.4295,0.0736
120,0.4134,0.3953,0.1506,0.4466,0.0754
121,0.2113,0.2828,0.1059,0.1381,0.0426
122,0.11,0.2344,0.0881,0.0665,0.0318
123,0.1855,0.2699,0.1011,0.1153,0.0395
124,0.1807,0.2676,0.4995,0.1114,0.039
125,0.3438,0.3545,0.1337,0.3162,0.0621
126,0.1132,0.2358,0.0887,0.0681,0.0321
127,0.4814,0.4365,0.1689,0.5816,0.0909
128,0.0326,0.2014,0.0765,0.0369,0.0254
129,0.322,0.3421,0.5697,0.2798,0.0584
130,0.0763,0.2196,0.0829,0.0516,0.0288
131,0.6738,0.5562,0.2299,0.8663,0.6456
132,0.2561,0.3061,0.5371,0.1865,
133,0.1343,0.2454,0.0921,0.0796,0.0341
134,0.3657,0.3671,0.1388,0.3552,0.066
135,0.1349,0.2457,0.0922,0.08,
136,0.2498,0.3027,0.1134,0.179,0.0475
137,0.3053,0.3328,0.125,0.2536,0.0557
138,0.4125,0.3947,0.6134,0.4995,
139,0.2759,0.3167,0.1187,0.2117,0.0512
140,0.1816,0.268,0.5,0.136,
141,0.5172,0.4586,0.1792,0.6493,0.5325
142,0.4091,0.3927,0.1495,0.4381,0.0745
143,0.3759,0.3731,0.1413,0.3741,0.0679
144,0.1293,0.2431,0.0913,0.0768,0.0336
145,0.1079,0.2334,0.0878,0.0655,0.0316
146,0.1891,0.2717,0.1017,0.1183,0.0399
147,0.0581,0.2119,0.4385,0.0449,0.0273
148,0.2709,0.314,0.1177,0.2051,0.0505
149,0.4937,0.4441,0.1724,0.6054,0.094
150,0.042,0.2053,0.0778,0.0397,0.0261
151,0.5358,0.4702,0.1847,0.6824,0.5463
152,0.4171,0.3975,0.1516,0.4539,0.0762
153,0.1097,0.2342,0.4641,0.0664,0.0317
154,0.3959,0.3848,0.1462,0.4123,0.0718
155,0.3356,0.3498,0.1318,0.3022,0.0606
156,0.2137,0.284,0.1063,0.1404,
157,0.2815,0.3197,0.5498,0.2193,
158,0.6667,0.5518,0.7251,0.8596,0.6407
159,0.4586,0.4226,0.1626,0.5367,0.0854
160,0.636,0.5328,0.7127,0.8564,
161,0.3095,0.3351,0.1259,0.2601,
162,0.2485,0.3021,0.1131,0.1775,0.0474
163,0.1753,0.2649,0.0992,0.1072,0.0384
164,0.2941,0.3266,0.1226,0.2371,0.0539
165,0.1096,0.2342,0.464,0.0663,0.0317
166,0.0198,0.1963,0.0747,0.0335,0.0244
167,0.2283,0.2915,0.1091,0.1551,0.0447
168,0.2649,0.3108,0.5415,0.1974,0.0496
169,0.3984,0.3863,0.1468,0.4171,0.0723
170,0.3702,0.3698,0.1399,0.3635,0.0668
171,0.1685,0.2616,0.098,0.1021,
172,0.1754,0.265,0.4969,0.1073,
173,0.121,0.2393,0.4697,0.0722,0.0328
174,0.2833,0.3207,0.5506,0.2218,0.0523
175,0.3345,0.3492,0.1315,0.3003,0.0605
176,0.2458,0.3006,0.532,0.2082,
177,0.2595,0.3079,0.1153,0.1907,0.0489
178,0.1521,0.2538,0.0952,0.0907,0.0359
179,0.1306,0.2437,0.0915,0.0775,0.0337
180,0.2104,0.2824,0.5144,0.1372,0.0425
181,0.3158,0.3387,0.5667,0.2699,
182,0.4564,0.4212,0.162,0.5864,
183,0.5416,0.4738,0.1865,0.6923,0.107
184,0.4306,0.4056,0.1551,0.4808,0.0791
185,0.1166,0.2373,0.0892,0.0699,0.0324
186,0.3638,0.366,0.5901,0.4033,
187,0.1234,0.2404,0.0903,0.0735,0.033
188,0.6798,0.5599,0.7303,0.8718,0.6497
189,0.3571,0.3622,0.5868,0.3905,
190,0.2062,0.2802,0.5123,0.1333,
191,0.4167,0.3972,0.6154,0.4531,0.0761
192,0.3685,0.3688,0.5923,0.4124,
193,0.1456,0.2507,0.094,0.0865,0.0352
194,0.3619,0.3649,0.5892,0.3483,
195,0.285,0.3216,0.1206,0.2241,0.0526
196,0.5249,0.4634,0.6652,0.6632,
197,0.1312,0.244,0.4748,0.0951,
198,0.0902,0.2256,0.085,0.0573,0.03
199,0.3143,0.3378,0.127,0.2675,0.0571
200,0.1818,0.2681,0.1004,0.1123,0.0391
201,0.3489,0.3574,0.1349,0.3251,0.063
202,0.2666,0.3117,0.1168,0.1996,0.0499
203,0.062,0.2135,0.0807,0.0463,0.0276
204,0.3901,0.3814,0.1448,0.4011,
205,0.2336,0.2943,0.5259,0.1607,0.0454
206,0.1029,0.2312,0.087,0.0631,0.0311
207,0.3571,0.3622,0.1368,0.3396,0.0644
208,0.5825,0.4994,0.6903,0.7574,
209,0.2758,0.3166,0.5469,0.2116,0.0512
210,0.2136,0.284,0.1063,0.1403,0.0429
211,0.1971,0.2757,0.5077,0.1251,
212,0.3283,0.3457,0.1301,0.29,0.0594
213,0.3463,0.3559,0.5816,0.3205,
214,0.4047,0.3901,0.1484,0.4295,0.0736
215,0.1653,0.2601,0.0975,0.0998,0.0373
216,0.3713,0.3704,0.1402,0.3656,0.067
217,0.343,0.3541,0.1335,0.3148,0.0619
218,0.239,0.2971,0.1112,0.1666,0.0461
219,0.3378,0.3511,0.5774,0.3059,0.061
220,0.4959,0.4455,0.173,0.6096,0.0946
221,0.1942,0.2742,0.5063,0.1482,
222,0.1274,0.2423,0.091,0.0757,0.0334
223,0.1783,0.2664,0.4983,0.1096,0.0387
224,0.4558,0.4209,0.1618,0.5311,0.0847
225,0.1831,0.2687,0.1006,0.1134,0.0393
226,0.4377,0.4099,0.157,0.495,0.0806
227,0.1593,0.2572,0.0964,0.0956,0.0366
228,0.1407,0.2484,0.0932,0.0835,
229,0.3569,0.362,0.1367,0.3393,0.0644
230,0.3351,0.3495,0.1317,0.3013,
231,0.159,0.2571,0.4887,0.1161,
232,0.269,0.313,0.1173,0.2027,0.0502
233,0.3516,0.359,0.5842,0.3298,
234,0.4229,0.4009,0.6183,0.4654,
235,0.178,0.2662,0.4982,0.1093,0.0387
236,0.1262,0.2417,0.0908,0.075,0.0333
237,0.2769,0.3172,0.1189,0.2522,
238,0.5215,0.4613,0.1804,0.6571,0.5357
239,0.4226,0.4008,0.6182,0.4648,0.4616
240,0.5207,0.4608,0.6633,0.6556,
241,0.0951,0.2278,0.4568,0.0595,0.0304
242,0.1628,0.2589,0.097,0.098,
243,0.0717,0.2176,0.0822,0.0498,0.0284
244,0.2601,0.3082,0.1155,0.1914,0.049
245,0.0225,0.1974,0.4211,0.0342,0.0246
246,0.5849,0.5009,0.1999,0.7609,0.5825
247,0.415,0.3962,0.6146,0.4497,0.0757
248,0.0796,0.221,0.0834,0.0529,0.0291
249,0.2826,0.3203,0.1201,0.2208,0.0522
250,0.1938,0.274,0.1026,0.1223,0.0405
251,0.1485,0.2521,0.0945,0.0884,0.0355
252,0.3611,0.3645,0.1377,0.3469,0.0652
253,0.5131,0.4561,0.178,0.6418,0.5294
254,0.056,0.211,0.0798,0.0442,0.0271
255,0.5991,0.5097,0.2045,0.7809,0.5928
256,0.1909,0.2726,0.1021,0.1198,0.0401
257,0.1819,0.2681,0.1004,0.1124,0.0391
258,0.2305,0.2927,0.1095,0.1574,0.045
259,0.3989,0.3866,0.147,0.4181,0.0724
260,0.0827,0.2223,0.4507,0.0542,0.0293
261,0.2487,0.3022,0.1131,0.1777,0.0474
262,0.1113,0.235,0.0884,0.0672,0.0319
263,0.1926,0.2734,0.5055,0.1212,
264,0.3147,0.338,0.5661,0.2681,0.0572
265,0.3572,0.3622,0.5869,0.3398,
266,0.0983,0.2292,0.0863,0.0609,0.0307
267,0.2859,0.3221,0.5519,0.2254,
268,0.127,0.2421,0.0909,0.0923,
269,0.2659,0.3113,0.1166,0.1987,
270,0.2763,0.3169,0.1188,0.2123,0.0513
271,0.1268,0.242,0.0909,0.0753,0.0334
272,0.1606,0.2578,0.0966,0.1174,
273,0.2835,0.3208,0.5507,0.2221,
274,0.3057,0.333,0.1251,0.2542,0.0557
275,0.6582,0.5465,0.7217,0.8512,0.6348
276,0.1674,0.2611,0.4929,0.1013,
277,0.071,0.2173,0.0821,0.0496,0.0284
278,0.2141,0.2842,0.5162,0.1408,0.0429
279,0.1691,0.2619,0.0981,0.1026,0.0377
280,0.4831,0.4376,0.1694,0.5849,0.5702
281,0.1819,0.2681,0.1004,0.1124,0.0391
282,0.3803,0.3757,0.598,0.3824,
283,0.1833,0.2688,0.1007,0.1135,0.0393
284,0.7935,0.6283,0.275,0.9441,0.7229
285,0.0812,0.2217,0.0836,0.0536,0.0292
286,0.1666,0.2607,0.0977,0.1008,0.0374
287,0.5717,0.4926,0.1958,0.7411,0.5729
288,0.3186,0.3402,0.1279,0.2743,0.0578
289,0.364,0.3661,0.1384,0.3521,0.0657
290,0.0632,0.214,0.0809,0.0467,0.0277
291,0.1267,0.2419,0.0909,0.0753,0.0333
292,0.4631,0.4253,0.6371,0.5456,
293,0.1711,0.2629,0.4947,0.1041,0.0379
294,0.2462,0.3008,0.1126,0.1748,0.0471
295,0.3381,0.3513,0.1324,0.3064,
296,0.1174,0.2377,0.0893,0.0703,0.0325
297,0.1963,0.2753,0.103,0.1244,0.0408
298,0.2073,0.2808,0.1051,0.1343,
299,0.1431,0.2495,0.4807,0.085,0.035
300,0.2024,0.2783,0.5104,0.1298,0.0415
301,0.3995,0.387,0.6072,0.4193,
302,0.2375,0.2963,0.1109,0.165,0.0459
303,0.1386,0.2474,0.4785,0.0822,0.0345
304,0.235,0.295,0.1104,0.1622,0.0456
305,0.1291,0.2431,0.0913,0.0766,0.0336
306,0.6262,0.5267,0.2135,0.8158,0.6123
307,0.311,0.336,0.5643,0.2624,
308,0.4455,0.4146,0.159,0.5106,0.0824
309,0.3043,0.3322,0.1248,0.2521,0.0555
310,0.1846,0.2695,0.1009,0.1146,0.0394
311,0.0652,0.2149,0.0812,0.0474,0.0279
312,0.3405,0.3526,0.1329,0.3594,
313,0.2954,0.3273,0.1229,0.2389,0.0541
314,0.4983,0.4469,0.1737,0.6141,0.5814
315,0.2481,0.3018,0.113,0.177,0.0473
316,0.3292,0.3462,0.1303,0.2915,0.0596
317,0.0024,0.1896,0.4113,0.0292,
318,0.2225,0.2885,0.108,0.1491,0.044
319,0.1692,0.262,0.0981,0.1027,0.0377
320,0.315,0.3382,0.5663,0.2686,0.0572
321,0.0637,0.2142,0.081,0.0469,0.0278
322,0.1932,0.2737,0.1025,0.1217,0.0404
323,0.1748,0.2647,0.4966,0.1069,0.0383
324,0.329,0.3461,0.1303,0.3385,
325,0.1008,0.2303,0.0867,0.0621,0.0309
326,0.6328,0.5308,0.2157,0.8236,0.617
327,0.193,0.2736,0.1024,0.1216,0.0404
328,0.5116,0.4552,0.1775,0.639,0.5283
329,0.1819,0.2681,0.5001,0.1124,0.0391
330,0.2242,0.2894,0.1083,0.1508,0.0442
331,0.2008,0.2775,0.5096,0.155,
332,0.4674,0.4279,0.165,0.5542,0.0875
333,0.3769,0.3737,0.1415,0.376,0.0681
334,0.1185,0.2382,0.4685,0.0709,
335,0.1593,0.2572,0.0964,0.0956,0.0366
336,0.2699,0.3135,0.1175,0.2038,0.0503
337,0.579,0.4972,0.1981,0.7522,0.5782
338,0.1048,0.232,0.0873,0.064,0.0313
339,0.3156,0.3385,0.1273,0.2696,0.0573
340,0.3456,0.3555,0.5812,0.3688,
341,0.3309,0.3472,0.1307,0.2943,0.0598
342,0.2332,0.2941,0.1101,0.1603,0.0453
343,0.3652,0.3668,0.5907,0.3543,
344,0.2348,0.2949,0.5265,0.162,
345,0.3285,0.3458,0.5729,0.2903,0.0594
346,0.2766,0.3171,0.1189,0.2127,0.0513
347,0.2318,0.2933,0.1098,0.1588,0.0452
348,0.5085,0.4533,0.1766,0.6333,0.5888
349,0.1992,0.2767,0.5088,0.127,
350,0.1198,0.2388,0.0897,0.0715,0.0327
351,0.5696,0.4913,0.1951,0.7379,0.6324
352,0.1641,0.2595,0.4912,0.099,0.0372
353,0.5384,0.4718,0.1855,0.6869,0.6103
354,0.4145,0.3959,0.6144,0.4488,
355,0.218,0.2862,0.1071,0.1446,
356,0.3392,0.3519,0.5781,0.3083,0.0613
357,0.1963,0.2753,0.103,0.1244,0.0408
358,0.0989,0.2294,0.0864,0.0612,0.0308
359,0.2749,0.3161,0.5465,0.2104,
360,0.4751,0.4327,0.1671,0.5693,0.0893
361,0.4022,0.3886,0.1478,0.4246,0.0731
362,0.6248,0.5258,0.7081,0.8141,0.6113
363,0.1779,0.2662,0.0997,0.1092,0.0387
364,0.481,0.4363,0.1688,0.5809,0.5687
365,0.4903,0.442,0.6496,0.6503,
366,0.5864,0.5018,0.2004,0.7631,0.5836
367,0.3493,0.3577,0.135,0.3258,0.063
368,0.2067,0.2805,0.5125,0.1338,0.042
369,0.1937,0.274,0.1026,0.1222,0.0405
370,0.3515,0.3589,0.1355,0.3297,0.0634
371,0.147,0.2514,0.0943,0.1066,
372,0.1956,0.2749,0.1029,0.1238,0.0407
373,0.1141,0.2362,0.0888,0.0686,0.0322
374,0.1354,0.246,0.0923,0.0803,0.0342
375,0.2547,0.3053,0.1144,0.1848,0.0482
376,0.6702,0.554,0.2286,0.8629,0.6431
377,0.1996,0.2769,0.509,0.1273,0.0412
378,0.3004,0.3301,0.1239,0.2463,0.0549
379,0.5654,0.4887,0.1938,0.7723,
380,0.3322,0.3479,0.131,0.2965,0.0601
381,0.1495,0.2526,0.4839,0.089,0.0356
382,0.4439,0.4136,0.6282,0.5074,
383,0.2249,0.2898,0.1085,0.1516,0.0443
384,0.3724,0.371,0.5942,0.3676,0.0672
385,0.2288,0.2918,0.1092,0.1556,0.0448
386,0.1877,0.271,0.503,0.1171,0.0398
387,0.5777,0.4964,0.1977,0.7502,0.5773
388,0.3767,0.3735,0.1415,0.3756,0.0681
389,0.1553,0.2553,0.0957,0.0929,0.0362
390,0.2954,0.3273,0.1229,0.2389,0.0541
391,0.5073,0.4525,0.1763,0.631,0.5251
392,0.5642,0.4879,0.1934,0.7295,0.5674
393,0.2447,0.3001,0.1123,0.1731,0.0468
394,0.5605,0.4856,0.6808,0.7236,
395,0.4669,0.4276,0.6389,0.6066,
396,0.426,0.4028,0.1539,0.4716,0.0781
397,0.1611,0.2581,0.0967,0.0968,
398,0.5959,0.5077,0.696,0.7765,0.5905
399,0.2333,0.2941,0.1101,0.1604,0.0453
400,0.2172,0.2858,0.107,0.1438,0.0433
401,0.1466,0.2512,0.0942,0.0872,0.0353
402,0.2016,0.2779,0.104,0.1291,0.0414
403,0.4053,0.3904,0.61,0.4306,
404,0.124,0.2407,0.0904,0.0738,0.0331
405,0.2407,0.298,0.5295,0.1685,
406,0.0737,0.2185,0.4462,0.0622,
407,0.1924,0.2733,0.1023,0.1211,0.0403
408,0.1998,0.277,0.1037,0.1275,0.0412
409,0.2344,0.2947,0.1103,0.1616,0.0455
410,0.4707,0.43,0.6406,0.5607,0.4976
411,0.2594,0.3078,0.5388,0.2267,
412,0.41,0.3932,0.6122,0.4399,0.0747
413,0.1591,0.2571,0.0964,0.0954,0.0366
414,0.2807,0.3193,0.1197,0.2182,0.0519
415,0.4997,0.4478,0.6539,0.6168,0.5194
416,0.2167,0.2856,0.1069,0.1433,0.0432
417,0.1777,0.2661,0.0997,0.1091,0.0386
418,0.3113,0.3361,0.1263,0.2628,0.0566
419,0.4238,0.4015,0.1533,0.4672,0.0776
420,0.7714,0.6153,0.2663,0.9463,
421,0.2227,0.2886,0.108,0.1493,0.044
422,0.3767,0.3735,0.1415,0.3756,0.0681
423,0.2645,0.3106,0.1164,0.1969,0.0496
424,0.2739,0.3156,0.1183,0.2091,0.0509
425,0.3287,0.3459,0.1302,0.338,
426,0.4267,0.4032,0.1541,0.473,0.4647
427,0.3803,0.3757,0.1424,0.3824,0.0688
428,0.2861,0.3222,0.1209,0.2257,0.0527
429,0.392,0.3825,0.1452,0.4586,
430,0.2023,0.2783,0.5103,0.1297,0.0415
431,0.1208,0.2393,0.0899,0.0721,0.0328
432,0.2042,0.2792,0.5113,0.1315,0.0417
433,0.4315,0.4061,0.6224,0.4826,
434,0.062,0.2135,0.4405,0.057,
435,0.2468,0.3012,0.5325,0.1755,
436,0.4703,0.4297,0.6404,0.5599,0.0882
437,0.3264,0.3446,0.1297,0.2869,0.0591
438,0.1135,0.2359,0.0887,0.0683,0.0321
439,0.3543,0.3605,0.1361,0.3346,0.0639
440,0.3572,0.3622,0.1368,0.3398,0.0644
441,0.1075,0.2333,0.0877,0.0653,0.0315
442,0.1831,0.2687,0.5007,0.1134,
443,0.341,0.3529,0.133,0.3114,0.0616
444,0.0321,0.2012,0.0764,0.0368,0.0253
445,0.1385,0.2474,0.4784,0.0821,0.0345
446,0.293,0.326,0.1223,0.2355,0.0538
447,0.3517,0.359,0.5842,0.33,
448,0.2891,0.3239,0.1215,0.2299,0.0532
449,0.404,0.3897,0.1482,0.4281,0.0734
450,0.1729,0.2638,0.0988,0.1054,0.0381
451,0.2318,0.2933,0.1098,0.1588,0.0452
452,0.3719,0.3707,0.594,0.3667,
453,0.3783,0.3745,0.1419,0.3786,0.0684
454,0.1528,0.2541,0.0953,0.0912,0.036
455,0.2248,0.2897,0.1084,0.1514,0.0443
456,0.3773,0.3739,0.1416,0.3768,0.0682
457,0.2668,0.3118,0.1168,0.1998,0.0499
458,0.0628,0.2139,0.0809,0.0466,0.0277
459,0.4974,0.4464,0.6528,0.6631,
460,0.4446,0.414,0.1588,0.5088,0.0822
461,0.3853,0.3786,0.6004,0.3919,
462,0.1846,0.2695,0.5015,0.1146,
463,0.6125,0.5181,0.2089,0.7987,0.6025
464,0.1713,0.263,0.0985,0.1042,0.0379
465,0.2053,0.2798,0.1047,0.1325,0.0418
466,0.04,0.2044,0.0775,0.0391,0.0259
467,0.6104,0.5168,0.2082,0.796,0.601
468,0.3038,0.332,0.1247,0.2514,0.0554
469,0.0952,0.2278,0.0858,0.0595,0.0304
470,0.1853,0.2698,0.101,0.1151,0.0395
471,0.1007,0.2302,0.0867,0.062,0.0309
472,0.2028,0.2785,0.5106,0.1302,
473,0.143,0.2495,0.0936,0.0849,0.035
474,0.4539,0.4197,0.6329,0.5816,
475,0.2921,0.3255,0.1221,0.2758,
476,0.1773,0.2659,0.0996,0.1088,0.0386
477,0.0865,0.224,0.0844,0.0557,0.0297
478,0.3193,0.3406,0.5684,0.2754,
479,0.2042,0.2792,0.5113,0.1315,0.0417
480,0.1644,0.2597,0.0973,0.0992,0.0372
481,0.1123,0.2354,0.0885,0.0677,0.032
482,0.3622,0.3651,0.138,0.4003,
483,0.2508,0.3033,0.1136,0.1802,0.0477
484,0.2178,0.2861,0.1071,0.1444,0.0434
485,0.4554,0.4206,0.1617,0.5303,0.0847
486,0.4801,0.4357,0.6449,0.6315,
487,0.0447,0.2064,0.0782,0.0405,0.0263
488,0.1253,0.2413,0.0906,0.0745,
489,0.2284,0.2916,0.1091,0.1552,0.0447
490,0.2005,0.2774,0.1038,0.1281,0.0413
491,0.2125,0.2834,0.1061,0.1392,0.0427
492,0.3694,0.3693,0.5928,0.362,0.0667
493,0.2217,0.2881,0.1078,0.1483,0.0439
494,0.3929,0.3831,0.1455,0.4065,0.0712
495,0.5471,0.5218,0.675,0.7016,0.5547
496,0.2398,0.2975,0.529,0.1675,
497,0.1783,0.3027,0.0998,0.1096,0.0387
498,0.296,0.3277,0.123,0.2398,0.0542
499,0.2653,0.3504,0.1165,0.1979,0.0497
500,0.0575,0.2116,0.0801,0.0447,0.0273
501,0.398,0.3861,0.1467,0.4164,0.0722
502,0.3487,0.3573,0.1348,0.3746,
503,0.3828,0.4199,0.143,0.3872,0.0692
504,0.299,0.3293,0.1236,0.2442,0.0547
505,0.3546,0.4028,0.1362,0.3352,
506,0.072,0.2497,0.0822,0.0499,0.0284
507,0.5618,0.4864,0.6814,0.7257,
508,0.3669,0.4102,0.5916,0.3574,
509,0.4754,0.477,0.1672,0.5699,0.5012
510,0.2176,0.3238,0.107,0.1442,0.0433
511,0.0754,0.2192,0.0827,0.0512,0.0287
512,0.2846,0.3214,0.5513,0.264,
513,0.0367,0.2031,0.0771,0.0381,0.0257
514,0.5098,0.4541,0.177,0.6849,
515,0.0387,0.2344,0.0773,0.0387,0.0258
516,0.5835,0.5445,0.1995,0.7588,0.642
517,0.2279,0.3295,0.5231,0.1856,
518,0.1283,0.277,0.4733,0.0762,0.0335
519,0.2034,0.3161,0.1044,0.1307,0.0416
520,0.1648,0.2598,0.0974,0.0995,0.0372
521,0.6056,0.5138,0.7001,0.7897,
522,0.3434,0.3961,0.1336,0.3155,0.062
523,0.4296,0.4486,0.6215,0.5337,
524,0.2902,0.3245,0.1217,0.2315,0.0533
525,0.2575,0.3068,0.1149,0.1882,0.0486
526,0.4778,0.4343,0.1679,0.5746,0.503
527,0.1047,0.232,0.0873,0.0639,0.0313
528,0.2243,0.2895,0.5213,0.1509,
529,0.1002,0.2631,0.0866,0.0618,0.0309
530,0.6766,0.5579,0.7291,0.8689,0.6475
531,0.2051,0.2797,0.5117,0.1596,
532,0.1871,0.2707,0.1014,0.1166,0.0397
533,0.4848,0.4829,0.1698,0.5882,0.0917
534,0.0901,0.2256,0.085,0.0573,0.03
535,0.3398,0.3522,0.1328,0.3093,0.0614
536,0.5507,0.4795,0.1892,0.7509,
537,0.3246,0.3436,0.1293,0.284,0.0588
538,0.5106,0.499,0.6588,0.6372,0.5903
539,0.2148,0.2846,0.1065,0.1415,0.043
540,0.5787,0.497,0.6887,0.7517,0.6387
541,0.224,0.3273,0.1083,0.1506,0.0442
542,0.3241,0.3846,0.1292,0.3298,
543,0.1343,0.28,0.0921,0.0796,0.0341
544,0.233,0.3323,0.11,0.1601,0.0453
