account_id,variant,did_activate
1368,control,False
1402,control,False
802,control,True
573,treatment,False
697,treatment,False
1060,treatment,False
1194,treatment,False
1293,treatment,False
1341,treatment,False
1466,treatment,False
1469,treatment,False
1507,treatment,False
1835,treatment,False
829,treatment,True
1078,treatment,True
1107,treatment,True
1154,treatment,True
1587,treatment,True
1753,treatment,True
694,control,False
834,control,False
1073,control,False
1110,control,False
1187,control,False
1533,control,False
1651,control,False
1654,control,False
1766,control,False
1925,control,False
1965,control,False
1812,control,True
574,treatment,False
638,treatment,False
671,treatment,False
675,treatment,False
898,treatment,False
918,treatment,False
1094,treatment,False
1242,treatment,False
1285,treatment,False
1369,treatment,False
1486,treatment,False
1541,treatment,False
1926,treatment,False
623,treatment,True
795,treatment,True
1038,treatment,True
1061,treatment,True
1291,treatment,True
1539,treatment,True
1778,treatment,True
613,control,False
706,control,False
710,control,False
755,control,False
856,control,False
1170,control,False
1379,control,False
1394,control,False
1443,control,False
1780,control,False
819,control,True
1247,control,True
1415,control,True
1429,control,True
1724,control,True
1805,control,True
1931,control,True
627,treatment,False
643,treatment,False
655,treatment,False
731,treatment,False
1018,treatment,False
1098,treatment,False
1119,treatment,False
1143,treatment,False
1202,treatment,False
1261,treatment,False
1694,treatment,False
1756,treatment,False
2019,treatment,False
662,treatment,True
1687,treatment,True
1899,treatment,True
642,control,False
721,control,False
826,control,False
922,control,False
1108,control,False
1449,control,False
1525,control,False
1667,control,False
1761,control,False
1881,control,False
530,control,True
665,control,True
941,control,True
1020,control,True
1198,control,True
1666,control,True
2016,control,True
506,treatment,False
509,treatment,False
555,treatment,False
892,treatment,False
940,treatment,False
1346,treatment,False
1366,treatment,False
1389,treatment,False
1683,treatment,False
1851,treatment,False
1960,treatment,False
639,treatment,True
658,treatment,True
848,treatment,True
1355,treatment,True
1532,treatment,True
1674,treatment,True
1746,treatment,True
536,control,False
648,control,False
723,control,False
745,control,False
877,control,False
990,control,False
1090,control,False
1395,control,False
1512,control,False
1572,control,False
1829,control,False
707,control,True
855,control,True
887,control,True
1012,control,True
1036,control,True
1258,control,True
1298,control,True
1303,control,True
1352,control,True
1558,control,True
1618,control,True
647,treatment,False
720,treatment,False
858,treatment,False
950,treatment,False
1148,treatment,False
1794,treatment,False
778,treatment,True
1021,treatment,True
514,control,False
537,control,False
977,control,False
1464,control,False
1510,control,False
1638,control,False
1775,control,False
1906,control,False
2001,control,False
558,control,True
822,control,True
873,control,True
1289,control,True
606,treatment,False
900,treatment,False
1017,treatment,False
1072,treatment,False
1323,treatment,False
1485,treatment,False
1487,treatment,False
1671,treatment,False
1918,treatment,False
607,treatment,True
634,treatment,True
928,treatment,True
1453,treatment,True
1573,treatment,True
1916,treatment,True
825,control,False
895,control,False
948,control,False
985,control,False
1387,control,False
1472,control,False
1521,control,False
1763,control,False
2000,control,False
2018,control,False
630,control,True
636,control,True
741,control,True
1115,control,True
1226,control,True
1294,control,True
1375,control,True
1913,control,True
1979,control,True
522,treatment,False
661,treatment,False
790,treatment,False
879,treatment,False
921,treatment,False
1071,treatment,False
1181,treatment,False
1222,treatment,False
1269,treatment,False
1307,treatment,False
1692,treatment,False
1777,treatment,False
621,treatment,True
984,treatment,True
1334,treatment,True
1818,treatment,True
567,control,False
629,control,False
713,control,False
763,control,False
872,control,False
1301,control,False
1336,control,False
1358,control,False
1363,control,False
1382,control,False
1414,control,False
1505,control,False
1797,control,False
1831,control,False
1869,control,False
1985,control,False
578,control,True
786,control,True
814,control,True
1690,control,True
1927,control,True
2003,control,True
597,treatment,False
712,treatment,False
754,treatment,False
903,treatment,False
949,treatment,False
1002,treatment,False
1131,treatment,False
1266,treatment,False
1283,treatment,False
1647,treatment,False
1814,treatment,False
1840,treatment,False
1933,treatment,False
1978,treatment,False
1980,treatment,False
715,treatment,True
1183,treatment,True
1372,treatment,True
1508,treatment,True
1623,treatment,True
1685,treatment,True
1792,treatment,True
1903,treatment,True
1944,treatment,True
500,control,False
568,control,False
649,control,False
728,control,False
820,control,False
980,control,False
1100,control,False
1519,control,False
1883,control,False
610,control,True
726,control,True
1284,control,True
1388,control,True
1460,control,True
1542,control,True
1610,control,True
1657,control,True
1923,control,True
542,treatment,False
899,treatment,False
978,treatment,False
1035,treatment,False
1282,treatment,False
1463,treatment,False
1625,treatment,False
1949,treatment,False
1963,treatment,False
1997,treatment,False
1007,treatment,True
1337,treatment,True
1530,treatment,True
1968,treatment,True
2015,treatment,True
539,control,False
678,control,False
747,control,False
791,control,False
964,control,False
1221,control,False
1582,control,False
1624,control,False
1736,control,False
1954,control,False
617,control,True
1134,control,True
657,treatment,False
805,treatment,False
828,treatment,False
830,treatment,False
1027,treatment,False
1031,treatment,False
1088,treatment,False
1329,treatment,False
1457,treatment,False
1669,treatment,False
1769,treatment,False
517,treatment,True
582,treatment,True
1241,treatment,True
1340,treatment,True
1981,treatment,True
1995,treatment,True
884,control,False
910,control,False
966,control,False
1063,control,False
1141,control,False
1232,control,False
1272,control,False
1455,control,False
1639,control,False
1904,control,False
2014,control,False
865,control,True
881,control,True
911,control,True
1231,control,True
1549,control,True
1588,control,True
1886,control,True
590,treatment,False
705,treatment,False
738,treatment,False
909,treatment,False
974,treatment,False
1064,treatment,False
1212,treatment,False
1216,treatment,False
1808,treatment,False
1910,treatment,False
2006,treatment,False
2009,treatment,False
804,treatment,True
1749,treatment,True
1991,treatment,True
524,control,False
570,control,False
698,control,False
752,control,False
806,control,False
857,control,False
1218,control,False
1324,control,False
1520,control,False
1556,control,False
1747,control,False
1803,control,False
1959,control,False
1349,control,True
1730,control,True
1720,control,True
1751,control,True
1821,control,True
818,treatment,False
905,treatment,False
999,treatment,False
1077,treatment,False
1132,treatment,False
1144,treatment,False
1467,treatment,False
1523,treatment,False
1655,treatment,False
1695,treatment,False
1718,treatment,False
631,treatment,True
1023,treatment,True
1729,treatment,True
688,control,False
866,control,False
983,control,False
1076,control,False
1205,control,False
1370,control,False
1596,control,False
1632,control,False
1744,control,False
1008,control,True
1162,control,True
1791,control,True
598,treatment,False
620,treatment,False
739,treatment,False
840,treatment,False
1039,treatment,False
1085,treatment,False
1096,treatment,False
1097,treatment,False
1135,treatment,False
1248,treatment,False
1361,treatment,False
1381,treatment,False
1451,treatment,False
1581,treatment,False
681,treatment,True
996,treatment,True
1180,treatment,True
1279,treatment,True
1338,treatment,True
1723,treatment,True
667,control,False
735,control,False
753,control,False
779,control,False
867,control,False
1136,control,False
1344,control,False
1509,control,False
1707,control,False
1987,control,False
682,control,True
1156,control,True
2011,control,True
696,treatment,False
929,treatment,False
968,treatment,False
1117,treatment,False
1432,treatment,False
1498,treatment,False
1813,treatment,False
1880,treatment,False
1989,treatment,False
1200,treatment,True
1535,treatment,True
1603,treatment,True
1636,treatment,True
1832,treatment,True
1920,treatment,True
1947,treatment,True
711,control,False
919,control,False
971,control,False
995,control,False
1075,control,False
1434,control,False
1597,control,False
1628,control,False
1773,control,False
1796,control,False
1800,control,False
1940,control,False
1999,control,False
1343,control,True
1970,control,True
646,treatment,False
653,treatment,False
1103,treatment,False
1125,treatment,False
1210,treatment,False
1351,treatment,False
1431,treatment,False
1574,treatment,False
1698,treatment,False
1893,treatment,False
554,treatment,True
901,treatment,True
972,treatment,True
1315,treatment,True
1599,treatment,True
1612,treatment,True
1848,treatment,True
1854,treatment,True
652,control,False
1082,control,False
1155,control,False
1190,control,False
1244,control,False
1249,control,False
1277,control,False
1804,control,False
1975,control,False
1182,control,True
1911,control,True
1924,control,True
545,treatment,False
722,treatment,False
1413,treatment,False
1615,treatment,False
1928,treatment,False
1942,treatment,False
569,treatment,True
1825,treatment,True
1871,treatment,True
1945,treatment,True
552,control,False
588,control,False
841,control,False
844,control,False
957,control,False
1230,control,False
1378,control,False
1488,control,False
1583,control,False
1584,control,False
1898,control,False
1342,control,True
1616,control,True
593,treatment,False
632,treatment,False
650,treatment,False
759,treatment,False
1055,treatment,False
1101,treatment,False
1164,treatment,False
1188,treatment,False
1403,treatment,False
1416,treatment,False
1591,treatment,False
1948,treatment,False
1142,treatment,True
1593,treatment,True
1670,treatment,True
1935,treatment,True
1105,control,False
1365,control,False
1397,control,False
1418,control,False
1500,control,False
1810,control,False
1951,control,False
1054,control,True
1150,control,True
1677,control,True
1733,control,True
625,treatment,False
686,treatment,False
766,treatment,False
1003,treatment,False
1045,treatment,False
1149,treatment,False
1518,treatment,False
1727,treatment,False
1745,treatment,False
1265,treatment,True
1497,treatment,True
1635,treatment,True
1836,treatment,True
1852,treatment,True
564,control,False
572,control,False
626,control,False
654,control,False
1290,control,False
1534,control,False
1553,control,False
1585,control,False
1743,control,False
1816,control,False
1861,control,False
1915,control,False
897,control,True
925,control,True
955,control,True
1106,control,True
1442,control,True
1527,control,True
1857,control,True
1912,control,True
576,treatment,False
729,treatment,False
758,treatment,False
771,treatment,False
908,treatment,False
1123,treatment,False
1185,treatment,False
1236,treatment,False
1280,treatment,False
1513,treatment,False
1517,treatment,False
1757,treatment,False
1941,treatment,False
603,treatment,True
810,treatment,True
885,treatment,True
1502,treatment,True
511,control,False
596,control,False
746,control,False
1116,control,False
1163,control,False
1326,control,False
1646,control,False
1712,control,False
1839,control,False
1950,control,False
669,treatment,False
743,treatment,False
815,treatment,False
883,treatment,False
994,treatment,False
1169,treatment,False
1270,treatment,False
1458,treatment,False
1711,treatment,False
1755,treatment,False
523,treatment,True
1014,treatment,True
1204,treatment,True
1872,treatment,True
493,control,False
535,control,False
633,control,False
645,control,False
704,control,False
749,control,False
1140,control,False
1199,control,False
1421,control,False
1515,control,False
1561,control,False
1568,control,False
1634,control,False
1642,control,False
1826,control,False
1842,control,False
1864,control,False
1983,control,False
2012,control,False
831,control,True
1347,control,True
1787,control,True
1974,control,True
730,treatment,False
807,treatment,False
987,treatment,False
1019,treatment,False
1511,treatment,False
1643,treatment,False
1689,treatment,False
1699,treatment,False
1759,treatment,False
1788,treatment,False
934,treatment,True
1259,treatment,True
1630,treatment,True
1703,treatment,True
1767,treatment,True
1841,treatment,True
724,control,False
916,control,False
1026,control,False
1066,control,False
1240,control,False
1448,control,False
1605,control,False
1846,control,False
584,control,True
1823,control,True
543,treatment,False
742,treatment,False
777,treatment,False
947,treatment,False
1276,treatment,False
1359,treatment,False
1360,treatment,False
1474,treatment,False
1493,treatment,False
1499,treatment,False
1901,treatment,False
2023,treatment,False
1495,treatment,True
1613,treatment,True
1678,treatment,True
1713,treatment,True
1956,treatment,True
585,control,False
756,control,False
770,control,False
816,control,False
1067,control,False
1151,control,False
1227,control,False
1268,control,False
1726,control,False
2025,control,False
614,control,True
757,control,True
850,control,True
1547,control,True
1897,control,True
503,treatment,False
519,treatment,False
587,treatment,False
624,treatment,False
683,treatment,False
689,treatment,False
764,treatment,False
797,treatment,False
951,treatment,False
1099,treatment,False
1309,treatment,False
1357,treatment,False
1371,treatment,False
1423,treatment,False
1459,treatment,False
1492,treatment,False
1704,treatment,False
1858,treatment,False
508,treatment,True
821,treatment,True
882,treatment,True
1783,treatment,True
1798,treatment,True
1984,treatment,True
784,control,False
1004,control,False
1126,control,False
1186,control,False
1295,control,False
1564,control,False
1998,control,False
507,control,True
842,control,True
1080,control,True
1424,control,True
1754,control,True
516,treatment,False
644,treatment,False
1028,treatment,False
1139,treatment,False
1254,treatment,False
1273,treatment,False
1364,treatment,False
1407,treatment,False
1430,treatment,False
1577,treatment,False
1801,treatment,False
1877,treatment,False
1908,treatment,False
699,treatment,True
1238,treatment,True
1384,treatment,True
1440,treatment,True
792,control,False
1560,control,False
1731,control,False
1917,control,False
602,control,True
874,control,True
1129,control,True
1300,control,True
1551,control,True
1538,control,True
1629,control,True
1879,control,True
959,treatment,False
961,treatment,False
1111,treatment,False
1333,treatment,False
1404,treatment,False
1501,treatment,False
1575,treatment,False
1606,treatment,False
1735,treatment,False
1786,treatment,False
1815,treatment,False
518,treatment,True
709,treatment,True
843,treatment,True
875,treatment,True
1281,treatment,True
1475,treatment,True
1819,treatment,True
513,control,False
760,control,False
1189,control,False
1565,control,False
1580,control,False
1765,control,False
1964,control,False
549,control,True
1433,control,True
1437,control,True
541,treatment,False
577,treatment,False
824,treatment,False
1399,treatment,False
1506,treatment,False
1543,treatment,False
1620,treatment,False
1781,treatment,False
1907,treatment,False
2002,treatment,False
714,treatment,True
767,treatment,True
783,treatment,True
871,treatment,True
1172,treatment,True
1529,treatment,True
1545,treatment,True
1937,treatment,True
565,control,False
599,control,False
672,control,False
679,control,False
768,control,False
1217,control,False
1640,control,False
1742,control,False
1938,control,False
571,control,True
1420,control,True
515,treatment,False
591,treatment,False
732,treatment,False
1000,treatment,False
1087,treatment,False
1133,treatment,False
1313,treatment,False
1426,treatment,False
1644,treatment,False
1656,treatment,False
1887,treatment,False
495,treatment,True
744,treatment,True
808,treatment,True
1481,treatment,True
1586,treatment,True
2004,treatment,True
684,control,False
690,control,False
902,control,False
1234,control,False
1243,control,False
1252,control,False
1278,control,False
1483,control,False
1528,control,False
1659,control,False
1865,control,False
1660,control,True
1982,control,True
562,treatment,False
933,treatment,False
979,treatment,False
1114,treatment,False
1274,treatment,False
1405,treatment,False
1435,treatment,False
1838,treatment,False
1855,treatment,False
600,treatment,True
932,treatment,True
1157,treatment,True
1531,treatment,True
1579,treatment,True
1617,treatment,True
1799,treatment,True
1957,treatment,True
609,control,False
762,control,False
907,control,False
958,control,False
998,control,False
1438,control,False
1536,control,False
1548,control,False
1600,control,False
1738,control,False
608,control,True
1262,control,True
1288,control,True
1452,control,True
1569,control,True
906,treatment,False
923,treatment,False
1084,treatment,False
1196,treatment,False
1251,treatment,False
1330,treatment,False
1408,treatment,False
1601,treatment,False
1672,treatment,False
1673,treatment,False
1721,treatment,False
1847,treatment,False
1860,treatment,False
1972,treatment,False
1287,treatment,True
1425,treatment,True
1684,treatment,True
1837,treatment,True
1882,treatment,True
1894,treatment,True
2008,treatment,True
725,control,False
1033,control,False
1124,control,False
531,control,True
836,control,True
997,control,True
1048,control,True
1484,control,True
1789,control,True
1867,control,True
529,treatment,False
913,treatment,False
1350,treatment,False
1390,treatment,False
1614,treatment,False
1653,treatment,False
1994,treatment,False
676,treatment,True
736,treatment,True
809,treatment,True
869,treatment,True
931,treatment,True
1145,treatment,True
1312,treatment,True
1345,treatment,True
1728,treatment,True
663,control,False
1062,control,False
1166,control,False
1456,control,False
1845,control,False
1863,control,False
605,control,True
751,control,True
1203,control,True
1214,control,True
1419,control,True
1675,control,True
1976,control,True
551,treatment,False
785,treatment,False
1264,treatment,False
1392,treatment,False
1401,treatment,False
1665,treatment,False
1686,treatment,False
622,treatment,True
851,treatment,True
1074,treatment,True
685,control,False
769,control,False
937,control,False
969,control,False
1068,control,False
1128,control,False
1477,control,False
1552,control,False
1567,control,False
1608,control,False
1705,control,False
1386,control,True
1680,control,True
497,treatment,False
533,treatment,False
544,treatment,False
581,treatment,False
965,treatment,False
1005,treatment,False
1127,treatment,False
1197,treatment,False
1223,treatment,False
1297,treatment,False
1604,treatment,False
2021,treatment,False
1607,treatment,True
1668,treatment,True
782,control,False
936,control,False
942,control,False
1410,control,False
1662,control,False
1807,control,False
1905,control,False
1955,control,False
521,control,True
528,control,True
835,control,True
861,control,True
991,control,True
1056,control,True
1173,control,True
1465,control,True
1785,control,True
1952,control,True
616,treatment,False
876,treatment,False
1089,treatment,False
1237,treatment,False
1245,treatment,False
1555,treatment,False
1633,treatment,False
1637,treatment,False
1966,treatment,False
702,treatment,True
788,treatment,True
1253,treatment,True
1939,treatment,True
1990,treatment,True
1996,treatment,True
494,control,False
611,control,False
637,control,False
863,control,False
1158,control,False
1664,control,False
1688,control,False
1806,control,False
1859,control,False
2010,control,False
512,control,True
1224,control,True
1450,control,True
1476,control,True
505,treatment,False
889,treatment,False
1393,treatment,False
1590,treatment,False
1850,treatment,False
1900,treatment,False
1902,treatment,False
1930,treatment,False
575,treatment,True
748,treatment,True
1701,treatment,True
780,control,False
862,control,False
915,control,False
1246,control,False
1292,control,False
1514,control,False
1914,control,False
2007,control,False
859,control,True
1010,control,True
1335,control,True
1427,control,True
553,treatment,False
618,treatment,False
956,treatment,False
992,treatment,False
1058,treatment,False
1209,treatment,False
1592,treatment,False
1622,treatment,False
1856,treatment,False
1876,treatment,False
1225,treatment,True
1310,treatment,True
914,control,False
917,control,False
1320,control,False
1524,control,False
1708,control,False
1734,control,False
1764,control,False
1795,control,False
1958,control,False
496,control,True
680,control,True
1044,control,True
1192,control,True
1373,control,True
1468,control,True
1537,control,True
2013,control,True
870,treatment,False
975,treatment,False
1006,treatment,False
1118,treatment,False
1206,treatment,False
1219,treatment,False
1255,treatment,False
1271,treatment,False
1356,treatment,False
1462,treatment,False
1741,treatment,False
1042,treatment,True
1091,treatment,True
1220,treatment,True
1317,treatment,True
1631,treatment,True
532,control,False
878,control,False
891,control,False
952,control,False
989,control,False
1040,control,False
1041,control,False
1053,control,False
1229,control,False
1286,control,False
1354,control,False
1446,control,False
1557,control,False
1562,control,False
1611,control,False
1717,control,False
1802,control,False
833,control,True
1095,control,True
1380,control,True
1479,control,True
1496,control,True
1700,control,True
1953,control,True
580,treatment,False
733,treatment,False
832,treatment,False
944,treatment,False
945,treatment,False
1037,treatment,False
1104,treatment,False
1490,treatment,False
1550,treatment,False
1609,treatment,False
1824,treatment,False
556,treatment,True
924,treatment,True
1503,treatment,True
1598,treatment,True
1919,treatment,True
641,control,False
817,control,False
1013,control,False
1016,control,False
1025,control,False
1138,control,False
1314,control,False
1376,control,False
1391,control,False
1396,control,False
1621,control,False
1710,control,False
1844,control,False
737,control,True
776,control,True
981,control,True
1102,control,True
1179,control,True
2020,control,True
628,treatment,False
765,treatment,False
775,treatment,False
1015,treatment,False
1070,treatment,False
1367,treatment,False
1447,treatment,False
1696,treatment,False
1929,treatment,False
719,treatment,True
1331,treatment,True
1554,treatment,True
635,control,False
660,control,False
935,control,False
953,control,False
1022,control,False
1092,control,False
1109,control,False
1137,control,False
1146,control,False
1256,control,False
1306,control,False
1526,control,False
1737,control,False
1986,control,False
852,control,True
1311,control,True
1398,control,True
1714,control,True
1784,control,True
1843,control,True
510,treatment,False
566,treatment,False
718,treatment,False
1177,treatment,False
1325,treatment,False
1385,treatment,False
1834,treatment,False
1853,treatment,False
1029,treatment,True
1208,treatment,True
1417,treatment,True
1932,treatment,True
546,control,False
800,control,False
823,control,False
938,control,False
1011,control,False
1024,control,False
1093,control,False
1176,control,False
1305,control,False
1308,control,False
1374,control,False
1471,control,False
1866,control,False
880,control,True
1321,control,True
1348,control,True
1444,control,True
1470,control,True
1602,control,True
1977,control,True
547,treatment,False
813,treatment,False
846,treatment,False
982,treatment,False
1316,treatment,False
1559,treatment,False
1649,treatment,False
1758,treatment,False
973,treatment,True
1697,treatment,True
794,control,False
904,control,False
912,control,False
926,control,False
930,control,False
1267,control,False
1275,control,False
1874,control,False
1909,control,False
1969,control,False
1193,control,True
1895,control,True
939,treatment,False
943,treatment,False
1175,treatment,False
1522,treatment,False
1782,treatment,False
670,treatment,True
849,treatment,True
1043,treatment,True
1811,treatment,True
