account_id,churned,plan,upgrade_path,final_seats,signup_channel,company_size_bucket,months_retained
1038,False,pro,trial_conversion,4,content,small,9
1052,False,pro,trial_conversion,5,content,small,9
676,False,pro,trial_conversion,5,content,small,13
284,False,pro,late_upgrade,5,content,small,15
697,False,team,trial_conversion,5,content,small,12
1649,False,pro,late_upgrade,6,content,medium,2
947,False,pro,trial_conversion,6,content,medium,10
838,False,pro,trial_conversion,6,content,medium,11
651,False,pro,late_upgrade,6,content,medium,11
1596,False,pro,late_upgrade,6,content,medium,2
429,True,pro,trial_conversion,6,content,medium,2
1676,False,pro,late_upgrade,6,content,medium,1
1739,False,team,trial_conversion,6,content,medium,2
1276,True,team,trial_conversion,6,content,medium,1
240,False,pro,trial_conversion,6,content,small,19
1470,False,pro,trial_conversion,6,content,medium,5
64,False,pro,late_upgrade,6,content,medium,13
85,False,team,trial_conversion,7,content,medium,22
1117,False,pro,trial_conversion,8,content,medium,8
1895,False,team,trial_conversion,8,content,medium,1
176,True,team,trial_conversion,8,content,medium,11
829,False,pro,trial_conversion,8,content,medium,11
737,True,pro,trial_conversion,8,content,medium,10
1,False,pro,trial_conversion,8,content,medium,24
990,False,pro,late_upgrade,9,content,medium,8
772,False,pro,trial_conversion,9,content,medium,12
343,False,pro,trial_conversion,9,content,medium,17
1823,False,pro,trial_conversion,10,content,medium,2
743,False,pro,trial_conversion,10,content,medium,12
927,False,team,trial_conversion,10,content,medium,10
161,False,pro,trial_conversion,10,content,medium,20
1304,False,pro,trial_conversion,11,content,medium,6
562,False,pro,trial_conversion,11,content,medium,14
75,True,pro,trial_conversion,11,content,medium,16
1505,False,pro,trial_conversion,11,content,medium,4
683,True,pro,trial_conversion,11,content,medium,1
371,True,pro,trial_conversion,12,content,medium,7
1919,False,pro,trial_conversion,13,content,medium,1
37,False,pro,late_upgrade,13,content,medium,22
1056,True,team,trial_conversion,16,content,medium,8
831,True,team,trial_conversion,17,content,large,3
1743,False,team,trial_conversion,18,content,large,2
1616,False,team,trial_conversion,26,content,large,3
48,False,team,trial_conversion,26,content,large,23
788,True,team,trial_conversion,27,content,large,3
786,False,team,trial_conversion,27,content,large,12
681,True,pro,trial_conversion,27,content,large,3
1172,False,team,trial_conversion,27,content,large,7
865,False,team,trial_conversion,27,content,large,10
405,True,pro,trial_conversion,1,direct,small,2
1476,False,pro,trial_conversion,1,direct,small,5
1937,False,pro,trial_conversion,1,direct,small,1
687,True,pro,trial_conversion,1,direct,small,6
1427,True,team,trial_conversion,1,direct,small,2
1684,False,pro,trial_conversion,2,direct,small,3
802,False,pro,trial_conversion,2,direct,small,11
715,True,pro,trial_conversion,2,direct,small,6
1209,False,pro,late_upgrade,2,direct,small,6
1668,False,pro,trial_conversion,2,direct,small,3
1842,False,pro,trial_conversion,2,direct,small,1
298,True,pro,trial_conversion,2,direct,small,10
26,False,pro,trial_conversion,2,direct,small,24
1527,False,pro,trial_conversion,2,direct,small,4
605,False,pro,late_upgrade,2,direct,small,12
1299,False,pro,late_upgrade,2,direct,small,5
760,False,pro,late_upgrade,2,direct,small,9
1129,False,pro,late_upgrade,2,direct,small,6
619,True,pro,trial_conversion,2,direct,small,13
920,False,pro,trial_conversion,3,direct,small,10
406,False,pro,trial_conversion,3,direct,small,16
392,False,pro,late_upgrade,3,direct,small,10
1372,False,team,trial_conversion,3,direct,small,6
1897,True,pro,trial_conversion,3,direct,small,1
1618,True,pro,trial_conversion,3,direct,small,1
269,False,pro,trial_conversion,3,direct,small,18
1606,False,pro,trial_conversion,3,direct,small,3
1525,True,pro,trial_conversion,4,direct,small,3
1145,False,pro,trial_conversion,4,direct,small,8
631,False,pro,late_upgrade,4,direct,small,8
295,True,pro,trial_conversion,4,direct,small,12
1114,False,pro,trial_conversion,5,direct,small,8
231,True,pro,trial_conversion,5,direct,small,19
403,True,pro,trial_conversion,5,direct,small,3
28,False,pro,trial_conversion,5,direct,small,23
592,False,pro,trial_conversion,5,direct,medium,14
1362,False,pro,trial_conversion,5,direct,small,6
282,False,pro,trial_conversion,5,direct,small,18
755,False,pro,trial_conversion,5,direct,small,12
1437,False,team,trial_conversion,6,direct,small,5
1837,False,pro,trial_conversion,6,direct,medium,1
461,True,team,trial_conversion,6,direct,medium,7
1729,False,pro,trial_conversion,6,direct,medium,2
847,True,pro,trial_conversion,6,direct,medium,3
1309,True,pro,late_upgrade,6,direct,medium,5
796,True,team,trial_conversion,7,direct,medium,1
1612,False,team,trial_conversion,7,direct,medium,3
780,True,pro,late_upgrade,7,direct,medium,9
253,True,pro,late_upgrade,8,direct,medium,1
1288,True,team,trial_conversion,8,direct,medium,3
1297,False,pro,trial_conversion,8,direct,medium,6
854,False,pro,trial_conversion,8,direct,small,11
1516,False,pro,trial_conversion,9,direct,medium,4
7,True,team,trial_conversion,9,direct,medium,8
111,False,pro,trial_conversion,11,direct,medium,21
794,False,team,trial_conversion,12,direct,medium,11
1557,False,team,trial_conversion,12,direct,medium,4
73,False,pro,trial_conversion,13,direct,medium,22
671,False,pro,trial_conversion,13,direct,medium,13
1198,False,team,trial_conversion,14,direct,medium,7
1312,False,team,trial_conversion,17,direct,large,6
575,False,pro,trial_conversion,17,direct,large,14
744,False,team,trial_conversion,20,direct,large,12
1402,False,team,trial_conversion,20,direct,large,5
1061,False,pro,trial_conversion,21,direct,large,8
808,True,team,trial_conversion,22,direct,large,3
1343,False,team,trial_conversion,22,direct,large,6
12,True,team,trial_conversion,23,direct,large,3
1338,False,pro,trial_conversion,24,direct,large,6
1586,False,team,trial_conversion,25,direct,large,3
1054,False,pro,trial_conversion,26,direct,large,9
1927,False,pro,trial_conversion,27,direct,large,1
265,True,team,trial_conversion,1,organic_search,small,12
684,True,pro,trial_conversion,1,organic_search,small,2
1821,True,pro,trial_conversion,1,organic_search,small,1
344,False,pro,trial_conversion,1,organic_search,small,17
507,True,team,trial_conversion,1,organic_search,medium,15
1021,True,pro,trial_conversion,1,organic_search,small,1
1153,True,pro,trial_conversion,1,organic_search,small,8
192,True,pro,trial_conversion,1,organic_search,small,1
156,True,pro,trial_conversion,1,organic_search,small,20
804,True,pro,trial_conversion,1,organic_search,small,5
1064,False,pro,trial_conversion,1,organic_search,small,8
1956,False,pro,trial_conversion,1,organic_search,small,1
1921,False,pro,trial_conversion,1,organic_search,small,1
115,True,pro,trial_conversion,1,organic_search,small,15
1450,False,pro,trial_conversion,1,organic_search,small,5
267,True,pro,trial_conversion,1,organic_search,small,7
1700,False,pro,trial_conversion,1,organic_search,small,2
101,True,pro,trial_conversion,1,organic_search,small,7
157,True,pro,trial_conversion,1,organic_search,small,3
31,True,pro,trial_conversion,1,organic_search,small,3
955,False,pro,trial_conversion,1,organic_search,small,9
1002,False,team,trial_conversion,1,organic_search,small,9
1156,False,pro,trial_conversion,2,organic_search,small,8
542,False,team,trial_conversion,2,organic_search,small,14
835,True,pro,trial_conversion,2,organic_search,small,9
1730,False,pro,trial_conversion,2,organic_search,small,2
1481,False,pro,late_upgrade,2,organic_search,small,3
195,True,pro,late_upgrade,2,organic_search,small,14
1675,False,pro,trial_conversion,2,organic_search,small,3
536,False,pro,trial_conversion,2,organic_search,small,14
1291,False,pro,late_upgrade,2,organic_search,small,4
1286,False,pro,late_upgrade,2,organic_search,small,3
1514,True,pro,late_upgrade,2,organic_search,small,3
366,False,pro,late_upgrade,2,organic_search,small,9
1536,False,pro,late_upgrade,2,organic_search,small,3
1550,False,pro,late_upgrade,2,organic_search,small,2
307,True,pro,trial_conversion,2,organic_search,small,2
1653,False,pro,late_upgrade,2,organic_search,small,1
1787,True,pro,trial_conversion,2,organic_search,small,2
1167,False,pro,trial_conversion,2,organic_search,small,7
1071,False,pro,late_upgrade,2,organic_search,small,3
1298,False,pro,trial_conversion,2,organic_search,small,6
860,False,team,trial_conversion,2,organic_search,small,10
337,False,pro,late_upgrade,2,organic_search,small,13
1754,False,pro,trial_conversion,2,organic_search,small,2
1050,True,team,trial_conversion,2,organic_search,small,4
735,False,pro,late_upgrade,2,organic_search,small,11
839,False,pro,late_upgrade,2,organic_search,small,9
149,True,pro,late_upgrade,2,organic_search,small,10
610,True,pro,late_upgrade,2,organic_search,small,5
814,False,pro,trial_conversion,2,organic_search,small,11
1452,True,team,trial_conversion,2,organic_search,small,2
645,False,pro,late_upgrade,2,organic_search,small,8
792,True,pro,late_upgrade,2,organic_search,small,2
968,False,team,trial_conversion,2,organic_search,small,9
791,True,pro,late_upgrade,2,organic_search,small,3
966,False,pro,late_upgrade,2,organic_search,small,4
411,True,pro,trial_conversion,2,organic_search,small,11
516,False,pro,late_upgrade,2,organic_search,small,7
1319,True,pro,late_upgrade,2,organic_search,small,1
1235,False,pro,trial_conversion,2,organic_search,small,7
1603,True,pro,trial_conversion,2,organic_search,small,1
1213,False,pro,late_upgrade,2,organic_search,small,2
135,True,pro,trial_conversion,2,organic_search,small,4
517,False,pro,trial_conversion,2,organic_search,small,15
196,True,pro,trial_conversion,2,organic_search,small,17
1678,False,pro,trial_conversion,2,organic_search,small,3
455,True,pro,late_upgrade,2,organic_search,small,4
1420,False,pro,trial_conversion,2,organic_search,small,5
213,True,pro,trial_conversion,2,organic_search,small,18
1480,False,pro,trial_conversion,3,organic_search,small,4
2,False,pro,trial_conversion,3,organic_search,small,24
496,True,pro,trial_conversion,3,organic_search,small,7
181,False,pro,trial_conversion,3,organic_search,small,20
1436,False,team,trial_conversion,3,organic_search,small,5
674,False,team,trial_conversion,3,organic_search,small,13
1602,False,pro,trial_conversion,3,organic_search,small,3
1913,False,pro,trial_conversion,3,organic_search,small,1
1916,False,pro,trial_conversion,3,organic_search,small,1
1208,True,pro,trial_conversion,3,organic_search,small,7
602,False,team,trial_conversion,3,organic_search,small,14
997,True,pro,trial_conversion,3,organic_search,small,6
365,False,pro,trial_conversion,3,organic_search,small,17
1968,False,pro,trial_conversion,3,organic_search,small,1
60,False,pro,trial_conversion,3,organic_search,small,22
221,False,pro,trial_conversion,3,organic_search,small,19
1442,False,pro,trial_conversion,3,organic_search,small,5
1512,False,pro,late_upgrade,3,organic_search,small,3
646,True,team,trial_conversion,3,organic_search,small,2
639,True,team,trial_conversion,3,organic_search,small,1
1894,False,pro,trial_conversion,3,organic_search,small,1
1605,False,pro,trial_conversion,3,organic_search,small,3
1509,False,pro,trial_conversion,3,organic_search,small,4
1116,False,team,trial_conversion,4,organic_search,small,8
1704,False,pro,trial_conversion,4,organic_search,small,2
701,False,pro,trial_conversion,4,organic_search,small,12
273,False,pro,trial_conversion,4,organic_search,small,18
836,False,pro,trial_conversion,4,organic_search,small,11
1680,False,pro,trial_conversion,4,organic_search,medium,3
1008,False,pro,trial_conversion,4,organic_search,small,9
34,True,pro,trial_conversion,4,organic_search,small,4
1192,False,pro,trial_conversion,4,organic_search,small,7
918,False,pro,trial_conversion,4,organic_search,small,10
113,False,pro,trial_conversion,4,organic_search,small,21
919,True,pro,trial_conversion,4,organic_search,small,6
1332,False,pro,trial_conversion,4,organic_search,medium,6
268,True,pro,trial_conversion,4,organic_search,small,18
1032,False,pro,late_upgrade,4,organic_search,small,6
1595,True,team,trial_conversion,4,organic_search,medium,1
556,True,pro,trial_conversion,4,organic_search,small,2
751,False,pro,trial_conversion,4,organic_search,small,12
709,False,pro,trial_conversion,4,organic_search,small,12
96,False,pro,late_upgrade,4,organic_search,small,15
1416,True,pro,trial_conversion,4,organic_search,small,5
508,False,pro,trial_conversion,5,organic_search,small,15
866,True,pro,trial_conversion,5,organic_search,small,3
272,True,team,trial_conversion,5,organic_search,small,2
359,False,team,trial_conversion,5,organic_search,medium,17
1157,False,pro,trial_conversion,5,organic_search,medium,8
1005,False,team,trial_conversion,5,organic_search,small,9
749,False,pro,trial_conversion,5,organic_search,small,12
969,False,pro,trial_conversion,5,organic_search,small,9
1677,False,pro,trial_conversion,5,organic_search,small,3
1419,False,pro,trial_conversion,6,organic_search,medium,5
1600,False,pro,late_upgrade,6,organic_search,medium,2
904,False,pro,late_upgrade,6,organic_search,medium,10
1318,False,pro,trial_conversion,6,organic_search,small,6
1474,False,pro,late_upgrade,6,organic_search,medium,3
242,True,pro,trial_conversion,6,organic_search,small,11
486,True,pro,trial_conversion,6,organic_search,medium,1
1681,False,pro,trial_conversion,6,organic_search,medium,3
38,False,pro,late_upgrade,6,organic_search,medium,22
346,True,pro,late_upgrade,6,organic_search,medium,5
1742,False,pro,late_upgrade,6,organic_search,medium,1
863,False,pro,late_upgrade,6,organic_search,medium,8
1540,False,pro,late_upgrade,6,organic_search,medium,2
588,False,pro,late_upgrade,6,organic_search,medium,7
530,True,pro,late_upgrade,6,organic_search,medium,2
82,True,team,trial_conversion,6,organic_search,medium,1
1483,False,pro,late_upgrade,6,organic_search,medium,3
580,False,pro,late_upgrade,6,organic_search,medium,5
276,True,pro,trial_conversion,6,organic_search,small,7
1385,False,pro,late_upgrade,6,organic_search,medium,1
551,True,pro,late_upgrade,6,organic_search,medium,1
1929,False,pro,trial_conversion,6,organic_search,medium,1
420,False,pro,trial_conversion,7,organic_search,small,16
35,True,pro,trial_conversion,7,organic_search,small,13
1749,False,team,trial_conversion,7,organic_search,medium,2
1792,False,pro,trial_conversion,7,organic_search,small,2
741,True,team,trial_conversion,7,organic_search,medium,6
614,True,pro,trial_conversion,7,organic_search,medium,7
680,False,pro,trial_conversion,7,organic_search,small,13
472,True,pro,trial_conversion,7,organic_search,medium,5
1604,True,pro,trial_conversion,7,organic_search,medium,2
1059,False,pro,trial_conversion,7,organic_search,medium,8
1903,False,team,trial_conversion,7,organic_search,medium,1
991,False,pro,trial_conversion,7,organic_search,medium,9
95,False,team,trial_conversion,7,organic_search,small,22
1793,False,pro,trial_conversion,7,organic_search,small,2
1444,False,pro,trial_conversion,8,organic_search,medium,5
659,True,pro,trial_conversion,8,organic_search,medium,2
1422,False,pro,trial_conversion,8,organic_search,medium,5
548,True,pro,trial_conversion,8,organic_search,medium,12
103,True,pro,trial_conversion,8,organic_search,medium,21
875,False,team,trial_conversion,8,organic_search,small,10
1201,False,pro,trial_conversion,8,organic_search,medium,7
121,False,pro,late_upgrade,8,organic_search,small,20
1281,False,pro,trial_conversion,8,organic_search,medium,6
523,False,pro,trial_conversion,8,organic_search,medium,15
1484,False,team,trial_conversion,8,organic_search,medium,4
1502,False,pro,trial_conversion,8,organic_search,medium,4
1579,False,pro,trial_conversion,8,organic_search,small,4
607,False,pro,trial_conversion,8,organic_search,medium,14
69,False,team,trial_conversion,9,organic_search,medium,22
182,False,pro,trial_conversion,9,organic_search,medium,20
474,True,team,trial_conversion,9,organic_search,medium,3
116,True,pro,trial_conversion,9,organic_search,medium,4
817,False,team,trial_conversion,9,organic_search,medium,11
877,False,pro,trial_conversion,9,organic_search,medium,10
1078,False,team,trial_conversion,9,organic_search,medium,8
1248,True,pro,trial_conversion,9,organic_search,medium,3
781,False,team,trial_conversion,9,organic_search,medium,12
171,True,pro,trial_conversion,9,organic_search,medium,3
1867,False,team,trial_conversion,9,organic_search,medium,1
1107,False,pro,trial_conversion,9,organic_search,medium,8
1645,False,pro,trial_conversion,10,organic_search,medium,3
51,True,team,trial_conversion,10,organic_search,medium,17
1724,False,pro,trial_conversion,10,organic_search,medium,2
1670,False,team,trial_conversion,10,organic_search,medium,3
1285,False,pro,trial_conversion,10,organic_search,medium,6
1566,False,team,trial_conversion,10,organic_search,medium,4
1122,False,pro,trial_conversion,10,organic_search,medium,8
1083,True,pro,trial_conversion,10,organic_search,medium,1
1693,False,pro,trial_conversion,10,organic_search,medium,3
1409,False,pro,trial_conversion,10,organic_search,medium,5
1911,False,team,trial_conversion,11,organic_search,medium,1
1090,False,pro,trial_conversion,11,organic_search,medium,8
334,False,pro,trial_conversion,11,organic_search,medium,17
433,False,pro,trial_conversion,11,organic_search,medium,16
132,True,pro,trial_conversion,11,organic_search,medium,5
1131,False,pro,late_upgrade,11,organic_search,medium,6
1217,False,pro,trial_conversion,11,organic_search,medium,7
1124,False,team,trial_conversion,11,organic_search,medium,8
1303,False,team,trial_conversion,11,organic_search,medium,6
1765,False,pro,trial_conversion,12,organic_search,medium,2
1429,False,pro,trial_conversion,12,organic_search,medium,5
1854,False,pro,trial_conversion,13,organic_search,medium,1
1690,False,pro,trial_conversion,13,organic_search,medium,3
1236,True,pro,trial_conversion,13,organic_search,medium,6
703,False,pro,trial_conversion,13,organic_search,medium,12
83,True,pro,trial_conversion,14,organic_search,medium,7
1799,False,team,trial_conversion,14,organic_search,medium,2
326,False,pro,late_upgrade,15,organic_search,large,12
899,False,pro,late_upgrade,15,organic_search,large,6
807,True,team,trial_conversion,15,organic_search,large,9
1564,False,pro,late_upgrade,15,organic_search,large,2
1350,True,pro,late_upgrade,15,organic_search,large,4
452,False,pro,trial_conversion,16,organic_search,medium,16
850,False,pro,trial_conversion,17,organic_search,medium,11
1969,False,team,trial_conversion,17,organic_search,medium,1
306,False,pro,late_upgrade,17,organic_search,large,15
654,True,team,trial_conversion,19,organic_search,large,9
1789,False,team,trial_conversion,19,organic_search,large,2
1728,False,pro,trial_conversion,19,organic_search,large,2
699,False,team,trial_conversion,20,organic_search,large,12
726,False,pro,trial_conversion,21,organic_search,large,12
1220,True,pro,trial_conversion,22,organic_search,large,1
1397,False,team,trial_conversion,22,organic_search,large,5
636,False,pro,trial_conversion,22,organic_search,large,13
1772,False,pro,trial_conversion,23,organic_search,large,2
1014,False,team,trial_conversion,23,organic_search,large,9
670,True,pro,trial_conversion,23,organic_search,large,4
1831,False,team,trial_conversion,23,organic_search,large,1
312,False,team,trial_conversion,23,organic_search,large,18
1769,True,team,trial_conversion,24,organic_search,large,2
1529,False,team,trial_conversion,24,organic_search,large,4
864,False,pro,trial_conversion,25,organic_search,large,10
397,True,pro,trial_conversion,26,organic_search,large,8
1479,False,pro,trial_conversion,27,organic_search,large,5
23,True,pro,trial_conversion,27,organic_search,large,12
1713,False,pro,trial_conversion,28,organic_search,large,2
773,False,team,trial_conversion,29,organic_search,large,12
521,False,team,trial_conversion,30,organic_search,large,15
1637,False,team,trial_conversion,32,organic_search,large,3
819,False,pro,trial_conversion,1,paid_search,small,11
475,False,pro,trial_conversion,1,paid_search,small,15
641,False,pro,trial_conversion,1,paid_search,small,13
584,True,pro,trial_conversion,1,paid_search,small,5
1271,False,pro,trial_conversion,1,paid_search,small,6
842,False,pro,trial_conversion,1,paid_search,small,11
1373,True,pro,trial_conversion,1,paid_search,small,6
1571,False,team,trial_conversion,1,paid_search,small,4
442,True,team,trial_conversion,1,paid_search,small,2
1657,True,pro,trial_conversion,1,paid_search,small,3
837,True,pro,trial_conversion,1,paid_search,small,4
1182,False,pro,trial_conversion,1,paid_search,small,7
1289,False,pro,trial_conversion,1,paid_search,small,6
1160,True,pro,trial_conversion,1,paid_search,small,4
425,False,pro,trial_conversion,1,paid_search,small,16
1508,False,team,trial_conversion,1,paid_search,small,4
764,True,pro,late_upgrade,2,paid_search,small,4
937,False,pro,late_upgrade,2,paid_search,small,8
658,True,pro,late_upgrade,2,paid_search,small,5
408,False,pro,late_upgrade,2,paid_search,small,15
256,True,pro,late_upgrade,2,paid_search,small,7
620,False,pro,trial_conversion,2,paid_search,small,13
1109,True,pro,late_upgrade,2,paid_search,small,3
810,False,pro,trial_conversion,2,paid_search,small,11
953,False,pro,trial_conversion,2,paid_search,small,9
1165,False,pro,trial_conversion,2,paid_search,small,7
74,True,pro,late_upgrade,2,paid_search,small,6
1011,False,pro,trial_conversion,2,paid_search,small,9
852,False,pro,late_upgrade,2,paid_search,small,2
1912,False,pro,trial_conversion,2,paid_search,small,1
331,True,pro,trial_conversion,2,paid_search,small,1
956,False,pro,late_upgrade,2,paid_search,small,2
277,True,pro,late_upgrade,2,paid_search,small,8
805,False,pro,late_upgrade,2,paid_search,small,10
436,False,pro,late_upgrade,2,paid_search,small,14
11,True,pro,trial_conversion,2,paid_search,small,17
118,True,pro,late_upgrade,2,paid_search,small,1
1808,False,pro,late_upgrade,2,paid_search,small,1
1163,False,pro,late_upgrade,2,paid_search,small,5
573,False,pro,late_upgrade,2,paid_search,small,13
211,True,pro,trial_conversion,2,paid_search,small,7
925,False,pro,trial_conversion,2,paid_search,small,10
1010,True,pro,trial_conversion,2,paid_search,small,2
1723,False,team,trial_conversion,2,paid_search,small,2
1685,True,pro,trial_conversion,2,paid_search,small,1
1740,False,pro,trial_conversion,2,paid_search,small,2
1139,False,pro,late_upgrade,2,paid_search,small,6
634,False,pro,late_upgrade,2,paid_search,small,7
600,False,pro,late_upgrade,2,paid_search,small,10
1077,False,pro,late_upgrade,2,paid_search,small,7
1621,False,pro,trial_conversion,2,paid_search,small,3
528,True,pro,trial_conversion,2,paid_search,small,12
775,True,pro,trial_conversion,3,paid_search,small,2
1542,True,pro,trial_conversion,3,paid_search,small,3
1871,False,pro,trial_conversion,3,paid_search,medium,1
208,False,pro,trial_conversion,3,paid_search,small,19
1278,True,pro,trial_conversion,3,paid_search,small,4
1388,False,pro,trial_conversion,3,paid_search,small,5
571,False,pro,trial_conversion,3,paid_search,small,14
1607,False,pro,trial_conversion,3,paid_search,small,3
1375,False,pro,trial_conversion,3,paid_search,small,6
353,False,pro,late_upgrade,3,paid_search,small,8
394,False,pro,trial_conversion,3,paid_search,small,17
1843,False,team,trial_conversion,3,paid_search,small,1
199,True,pro,late_upgrade,3,paid_search,small,6
667,False,pro,late_upgrade,3,paid_search,small,11
1259,False,pro,trial_conversion,3,paid_search,small,7
1079,False,pro,late_upgrade,3,paid_search,small,2
100,False,team,trial_conversion,3,paid_search,small,22
1807,False,pro,trial_conversion,3,paid_search,small,2
1664,False,team,trial_conversion,3,paid_search,medium,3
621,False,pro,trial_conversion,3,paid_search,small,13
324,True,pro,trial_conversion,3,paid_search,small,13
793,False,pro,trial_conversion,4,paid_search,small,11
1161,False,pro,trial_conversion,4,paid_search,small,7
190,False,pro,trial_conversion,4,paid_search,small,20
1106,False,pro,trial_conversion,4,paid_search,small,8
606,False,pro,late_upgrade,4,paid_search,small,12
849,False,pro,trial_conversion,4,paid_search,small,11
535,True,pro,late_upgrade,4,paid_search,small,13
874,True,pro,trial_conversion,4,paid_search,small,5
1950,False,pro,trial_conversion,4,paid_search,small,1
1625,False,pro,trial_conversion,4,paid_search,small,3
1745,False,pro,trial_conversion,4,paid_search,small,2
140,False,pro,trial_conversion,4,paid_search,small,21
339,True,pro,late_upgrade,4,paid_search,small,6
509,False,pro,late_upgrade,4,paid_search,small,14
15,False,pro,trial_conversion,4,paid_search,small,24
1644,False,pro,trial_conversion,4,paid_search,small,3
65,True,pro,late_upgrade,4,paid_search,small,12
579,False,pro,trial_conversion,4,paid_search,small,14
301,False,pro,trial_conversion,4,paid_search,small,18
603,False,pro,trial_conversion,4,paid_search,medium,14
896,False,pro,trial_conversion,5,paid_search,small,10
1461,False,pro,trial_conversion,5,paid_search,small,5
691,True,pro,trial_conversion,5,paid_search,small,3
1631,False,pro,trial_conversion,5,paid_search,medium,3
1636,False,pro,trial_conversion,5,paid_search,medium,3
1012,False,pro,trial_conversion,5,paid_search,medium,9
1582,False,pro,trial_conversion,5,paid_search,medium,4
1195,True,team,trial_conversion,5,paid_search,medium,7
379,False,pro,trial_conversion,5,paid_search,small,17
204,False,pro,trial_conversion,5,paid_search,small,19
91,False,pro,trial_conversion,5,paid_search,small,22
1435,False,pro,trial_conversion,5,paid_search,small,5
1848,False,pro,trial_conversion,6,paid_search,small,1
349,True,team,trial_conversion,6,paid_search,medium,8
628,True,pro,late_upgrade,6,paid_search,medium,10
558,True,pro,trial_conversion,6,paid_search,small,11
873,True,team,trial_conversion,6,paid_search,small,7
884,True,pro,late_upgrade,6,paid_search,small,5
1384,False,pro,trial_conversion,6,paid_search,medium,5
1354,False,pro,trial_conversion,6,paid_search,medium,6
1081,False,team,trial_conversion,6,paid_search,small,8
1747,False,pro,late_upgrade,6,paid_search,medium,1
462,False,team,trial_conversion,7,paid_search,small,16
189,True,pro,trial_conversion,7,paid_search,small,8
376,False,pro,late_upgrade,7,paid_search,medium,11
1593,True,pro,trial_conversion,7,paid_search,medium,3
785,True,pro,trial_conversion,7,paid_search,medium,5
957,False,pro,trial_conversion,7,paid_search,medium,9
172,True,team,trial_conversion,7,paid_search,medium,13
1310,False,team,trial_conversion,7,paid_search,medium,6
1753,False,pro,trial_conversion,7,paid_search,small,2
340,False,pro,trial_conversion,7,paid_search,small,17
186,True,pro,trial_conversion,7,paid_search,medium,8
916,False,pro,late_upgrade,7,paid_search,medium,8
594,False,pro,trial_conversion,7,paid_search,small,14
1468,True,team,trial_conversion,8,paid_search,medium,3
848,False,team,trial_conversion,8,paid_search,medium,11
981,False,pro,trial_conversion,8,paid_search,small,9
1029,True,pro,trial_conversion,8,paid_search,medium,9
589,True,pro,trial_conversion,8,paid_search,medium,4
233,True,team,trial_conversion,8,paid_search,small,7
1923,False,team,trial_conversion,8,paid_search,medium,1
230,False,pro,trial_conversion,8,paid_search,small,19
30,True,pro,trial_conversion,8,paid_search,medium,7
228,True,pro,trial_conversion,9,paid_search,medium,11
263,False,pro,trial_conversion,9,paid_search,medium,18
1020,False,team,trial_conversion,9,paid_search,medium,9
395,False,pro,trial_conversion,9,paid_search,medium,16
596,False,pro,late_upgrade,9,paid_search,medium,12
745,False,pro,trial_conversion,9,paid_search,small,12
1173,True,pro,trial_conversion,10,paid_search,medium,2
720,False,pro,trial_conversion,10,paid_search,medium,12
1044,False,pro,late_upgrade,10,paid_search,medium,7
1203,False,team,trial_conversion,10,paid_search,medium,7
1300,False,pro,trial_conversion,11,paid_search,medium,6
1226,False,pro,trial_conversion,11,paid_search,medium,7
1302,False,pro,trial_conversion,11,paid_search,medium,6
1412,False,pro,trial_conversion,11,paid_search,medium,5
382,False,pro,trial_conversion,11,paid_search,small,17
